iter	Passed	Remaining
405	5178	7576
406	5186	7557
407	5199	7544
408	5211	7529
409	5220	7511
410	5231	7497
411	5240	7478
412	5251	7464
413	5264	7452
414	5272	7432
415	5284	7419
416	5297	7405
417	5305	7387
418	5316	7371
419	5327	7357
420	5338	7341
421	5352	7330
422	5364	7317
423	5374	7301
424	5384	7284
425	5395	7270
426	5404	7252
427	5416	7238
428	5428	7225
429	5437	7207
430	5447	7191
431	5460	7179
432	5474	7169
433	5483	7151
434	5494	7136
435	5506	7122
436	5516	7106
437	5530	7095
438	5544	7084
439	5562	7079
440	5574	7066
441	5587	7054
442	5598	7039
443	5613	7029
444	5626	7017
445	5641	7007
446	5652	6993
447	5663	6977
448	5676	6965
449	5690	6954
450	5703	6942
451	5713	6926
452	5727	6915
453	5740	6904
454	5752	6890
455	5766	6879
456	5776	6863
457	5788	6850
458	5802	6839
459	5812	6822
460	5825	6811
461	5836	6797
462	5845	6779
463	5857	6766
464	5871	6755
465	5886	6744
466	5894	6727
467	5905	6713
468	5918	6700
469	5926	6683
470	5939	6670
471	5951	6657
472	5962	6643
473	5971	6626
474	5983	6613
475	5991	6596
476	6003	6582
477	6015	6569
478	6027	6555
479	6036	6539
480	6050	6528
481	6063	6515
482	6071	6499
483	6085	6487
484	6095	6472
485	6104	6455
486	6115	6441
487	6127	6429
488	6136	6412
489	6149	6400
490	6162	6387
491	6174	6375
492	6183	6358
493	6195	6345
494	6206	6332
495	6215	6316
496	6227	6302
497	6239	6289
498	6248	6273
499	6260	6260
500	6271	6246
501	6283	6233
502	6295	6220
503	6306	6206
504	6315	6190
505	6327	6177
506	6340	6165
507	6349	6149
508	6360	6135
509	6380	6130
510	6393	6118
511	6406	6106
512	6420	6095
513	6433	6083
514	6446	6070
515	6456	6056
516	6472	6046
517	6483	6033
518	6495	6019
519	6505	6005
520	6518	5992
521	6529	5979
522	6539	5964
523	6552	5952
524	6566	5941
525	6579	5929
526	6589	5914
527	6602	5902
528	6614	5889
529	6624	5874
530	6634	5860
531	6647	5847
532	6659	5834
533	6671	5822
534	6683	5808
535	6695	5796
536	6703	5779
537	6715	5766
538	6727	5753
539	6735	5737
540	6745	5723
541	6756	5709
542	6765	5694
543	6778	5682
544	6787	5666
545	6797	5651
546	6809	5639
547	6817	5623
548	6829	5610
549	6839	5596
550	6848	5581
551	6860	5567
552	6870	5553
553	6878	5537
554	6891	5525
555	6902	5511
556	6913	5498
557	6925	5485
558	6937	5473
559	6948	5459
560	6960	5446
561	6973	5434
562	6983	5420
563	6993	5406
564	7004	5392
565	7012	5377
566	7025	5364
567	7037	5352
568	7048	5338
569	7068	5332
570	7083	5321
571	7094	5308
572	7108	5297
573	7123	5286
574	7135	5274
575	7147	5261
576	7158	5247
577	7173	5237
578	7187	5226
579	7201	5215
580	7215	5203
581	7227	5190
582	7239	5177
583	7252	5166
584	7263	5152
585	7273	5138
586	7287	5127
587	7301	5115
588	7315	5104
589	7327	5091
590	7337	5078
591	7350	5066
592	7364	5054
593	7377	5042
594	7388	5028
595	7401	5017
596	7415	5005
597	7429	4994
598	7442	4982
599	7453	4968
600	7465	4956
601	7482	4946
602	7495	4935
603	7510	4924
604	7522	4911
605	7533	4898
606	7547	4886
607	7561	4875
608	7575	4863
609	7585	4849
610	7598	4837
611	7611	4825
612	7624	4813
613	7634	4799
614	7647	4787
615	7659	4774
616	7670	4761
617	7680	4747
618	7691	4734
619	7700	4719
620	7711	4706
621	7723	4693
622	7731	4678
623	7749	4669
624	7760	4656
625	7773	4644
626	7786	4631
627	7797	4618
628	7812	4608
629	7826	4596
630	7842	4586
631	7856	4574
632	7869	4562
633	7885	4552
634	7905	4544
635	7917	4531
636	7926	4517
637	7939	4505
638	7954	4493
639	7969	4482
640	7979	4469
641	7990	4455
642	8003	4443
643	8015	4430
644	8025	4417
645	8038	4405
646	8050	4392
647	8058	4377
648	8070	4365
649	8082	4352
650	8091	4337
651	8103	4325
652	8114	4311
653	8123	4297
654	8133	4284
655	8144	4271
656	8154	4257
657	8167	4245
658	8177	4231
659	8185	4216
660	8199	4204
661	8208	4191
662	8218	4177
663	8230	4164
664	8244	4153
665	8254	4139
666	8269	4128
667	8283	4117
668	8300	4106
669	8312	4094
670	8320	4079
671	8331	4066
672	8342	4053
673	8351	4039
674	8364	4027
675	8375	4014
676	8383	3999
677	8395	3987
678	8406	3974
679	8415	3960
680	8429	3948
681	8440	3935
682	8449	3921
683	8463	3910
684	8477	3898
685	8489	3885
686	8498	3871
687	8509	3858
688	8517	3844
689	8528	3831
690	8540	3818
691	8548	3804
692	8561	3792
693	8572	3779
694	8580	3765
695	8593	3753
696	8606	3741
697	8614	3727
698	8625	3714
699	8637	3701
700	8646	3687
701	8657	3675
702	8668	3662
703	8677	3648
704	8691	3636
705	8703	3624
706	8714	3611
707	8725	3598
708	8739	3586
709	8754	3575
710	8763	3562
711	8776	3550
712	8792	3539
713	8806	3527
714	8820	3515
715	8833	3503
716	8847	3491
717	8859	3479
718	8877	3469
719	8901	3461
720	8920	3451
721	8952	3447
722	8966	3435
723	8980	3423
724	8991	3410
725	9003	3397
726	9016	3385
727	9031	3374
728	9045	3362
729	9054	3348
730	9067	3336
731	9082	3325
732	9096	3313
733	9114	3303
734	9130	3292
